Agency,Category,Facility or Program Type,Families with Children,Adult Families,Total Families,Total Adults in Families,Total Children,Single Men,Single Women,Runaway and Homeless Youth,Anyone of Another Gender,Total Single Adults,Total Adults,Total,Data Period,Data Period Notes
Mayor's Office of Criminal Justice (MOCJ),Total number of individuals utilizing city-administered facilities,Short-term reentry housing,10,,,,,618,97,NA,,715,,,202305,
Mayor's Office of Criminal Justice (MOCJ),Total number of facilities,Short-term reentry housing,,,,,,,,,,,,17,202305,
Department of Health and Mental Hygeine (DOHMH),Total number of individuals utilizing city-administered facilities,Justice-informed supportive housing (JISH),,,,,,NA,NA,,,104,,,202305,
Department of Health and Mental Hygeine (DOHMH),Total number of facilities,Justice-informed supportive housing (JISH),,,,,,,,,,,,120,202305,
Housing Preservation and Development (HPD),Average daily overnight census,HPD-administered facilities,218,170,388,896,451,275,119,NA,<10,395,,,202305,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency facilities: Family Living Center (HPD Shelter),207,<10,208,458,429,0,<10,,0,<10,,,202305,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency hotels (Single Room Occupancy Hotel),0,163,163,396,0,268,116,,0,385,,,202305,
Housing Preservation and Development (HPD),Average daily overnight census,HPD-administered facilities: American Red Cross,11,<10,17,40,22,<10,<10,,0,<10,,,202305,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency hotels (Emergency Procurement Hotel Contracts),NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,202305,There were no Emergency Procurement Hotel Contracts in the reporting month
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD-administered facilities,271,197,468,1082,557,324,133,N/A,<10,458,,,202305,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency facilities: Family Living Center (HPD Shelter),216,<10,217,476,444,0,<10,,0,<10,478,,202305,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency hotels (Single Room Occupancy Hotel),0,168,168,407,0,279,117,,<10,397,804,,202305,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD-administered facilities: American Red Cross,55,28,83,199,113,45,14,,0,59,258,,202305,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency hotels (Emergency Procurement Hotel Contracts),NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,202305,There were no Emergency Procurement Hotel Contracts in the reporting month
Housing Preservation and Development (HPD),Average length of stay,HPD-administered facilities,277,388,324,,,511,403,NA,109,479,,,202305,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency facilities: Family Living Center (HPD Shelter),346,49,344,,,0,211,NA,0,211,,,202305,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency hotels (Single Room Occupancy Hotel),0,453,453,,,593,454,NA,109,551,,,202305,
Housing Preservation and Development (HPD),Average length of stay,HPD-administered facilities: American Red Cross,<10,10,<10,,,<10,<10,NA,0,<10,,,202305,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency hotels (Emergency Procurement Hotel Contracts),NA,NA,NA,,,NA,NA,NA,NA,NA,,,202305,There were no Emergency Procurement Hotel Contracts in the reporting month
Housing Preservation and Development (HPD),Total number of facilities,HPD-administered facilities,,,,,,,,,,,,19,202305,
Department of Youth and Community Development (DYCD),Average daily overnight census,DYCD-administered facilities,17,NA,17,14,17,314,286,43,<10,,,684,202305,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered facilities,27,NA,27,20,27,908,862,166,14,1784,,1997,202305,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered crisis services programs,15,NA,15,10,15,157,161,50,<10,320,,395,202305,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered drop-in centers,0,NA,0,0,0,627,569,93,<10,1204,,1297,202305,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered transitional independent living support programs,12,NA,12,10,12,204,185,37,<10,393,,452,202305,
Department of Youth and Community Development (DYCD),Average length of stay,DYCD-administered crisis services programs,39,NA,39,46,,45,39,43,63,42,,42,202305,
Department of Youth and Community Development (DYCD),Average length of stay,DYCD-administered transitional independent living support programs,385,NA,385,391,,152,99,211,0,128,,149,202305,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities,Number of individuals who are on wait-list - DYCD-administered facilities,NA,NA,NA,,,NA,NA,NA,NA,NA,,,202305,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities,DYCD-administered crisis services programs,NA,NA,NA,,,NA,NA,NA,NA,NA,,,202305,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities,DYCD-administered drop-in centers,NA,NA,NA,,,NA,NA,NA,NA,NA,,,202305,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities,DYCD-administered transitional independent living support programs,NA,NA,NA,,,NA,NA,NA,NA,NA,,,202305,
Department of Youth and Community Development (DYCD),Total number of facilities,DYCD-administered facilities,,,,,,,,,,,,53,202305,
Department of Homeless Services (DHS),Average daily overnight census,DHS-administered facilities,15487,3041,18528,30770,26346,18161,4644,,18,22823,,,202305,
Department of Homeless Services (DHS),Average daily overnight census,DHS safe havens,,,,,,1296,228,,1,1525,,,202305,
Department of Homeless Services (DHS),Average daily overnight census,DHS Stabilization Beds,,,,,,948,339,,4,1291,,,202305,
Department of Homeless Services (DHS),Average daily overnight census,DHS veterans shelters,,,,,,135,0,,0,135,,,202305,
Department of Homeless Services (DHS),Average daily overnight census,DHS drop-in centers,,,,,,154,72,,,226,,,202305,
Department of Homeless Services (DHS),Average daily overnight census,DHS faith-based centers,,,,,,20,9,,,29,,,202305,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS-administered facilities,19086,4083,23169,34633,29359,22627,5759,,26,28413,,,202305,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS safe havens,,,,,,1465,256,NA,<10,<10,,,202305,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS stabilization beds,,,,,,1148,412,NA,<10,<10,,,202305,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS veterans shelters,,,,,,165,0,,0,165,,,202305,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS drop-in centers,,,,,,NA,NA,NA,,,,,202305,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS faith-based facilities,,,,,,NA,NA,NA,,,,,202305,
Department of Homeless Services (DHS),Average length of stay,DHS-administered facility,367,667,NA,,,NA,NA,NA,,370,,,202305,
Department of Homeless Services (DHS),Average length of stay,DHS safe havens,NA,NA,NA,,,NA,NA,NA,,484,,,202305,
Department of Homeless Services (DHS),Average length of stay,DHS stabilization beds,NA,NA,NA,,,NA,NA,NA,,391,,,202305,
Department of Homeless Services (DHS),Average length of stay,DHS veterans shelters,NA,NA,NA,,,NA,NA,NA,,360,,,202305,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Applications,4883,1192,NA,,,2878,742,,<10,<10,,,202305,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Unduplicated applicants,NA,NA,NA,,,NA,NA,,NA,NA,,,202305,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Unduplicated families (Families With children and Adult Families) with an outcome in the month,4484,761,NA,,,NA,NA,,NA,NA,,,202305,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Unduplicated entrants (Single Adults) / Eligible families to DHS Shelter,2403,65,NA,,,2878,742,,<10,<10,,,202305,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted one application,79,29,,,,,,,,,,,202305,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted two applications,12,22,,,,,,,,,,,202305,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted three applications,6,22,,,,,,,,,,,202305,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted four applications,2,14,,,,,,,,,,,202305,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted five applications,1,11,,,,,,,,,,,202305,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted six applications or more,1,3,,,,,,,,,,,202305,
Department of Homeless Services (DHS),Total number of facilities,DHS-administered facilities,,,,,,,,,,,,471,202305,
Human Resources Administration (HRA),Average daily overnight census,HRA-administered facilities,"1,150",342,"1,407","1,682","2,015","1,826",493,,10,"2,329",,,202305,
Human Resources Administration (HRA),Average daily overnight census,HRA domestic violence emergency shelters,626,147,731,774,"1,169",18,87,,,105,,,202305,
Human Resources Administration (HRA),Average daily overnight census,HRA domestic violence Tier II/transitional shelters,474,44,474,518,769,NA,NA,,,NA,,,202305,
Human Resources Administration (HRA),Average daily overnight census,HRA HASA emergency housing,49,148,198,382,76,"1,263",248,,6,"1,517",,,202305,
Human Resources Administration (HRA),Average daily overnight census,HRA HASA transitional housing,1,3,4,8,1,545,158,,4,707,,,202305,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA-administered facilities,"1,360",366,"1,638","1,962","2,392","2,070",588,,12,"2,670",,,202305,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA- administered facilities: domestic violence shelters,"1,303",204,"1,419","1,543","2,307",22,110,,,132,,,202305,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA- administered facilities: HASA shelters,57,162,219,419,85,"2,048",478,,12,"2,538",,,202305,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA domestic violence emergency shelters,787,156,903,975,"1,453",22,110,,,132,,,202305,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA domestic violence Tier II/transitional shelters,516,48,516,568,854,,,,,,,,202305,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA HASA emergency housing,55,163,218,419,83,"1,430",302,,<10,<10,,,202305,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA HASA transitional housing,<10,<10,<10,<10,<10,665,191,,<10,<10,,,202305,
Human Resources Administration (HRA),Average length of stay,HRA domestic violence emergency shelters,106,93,101,,,86,76,NA,,81,,,202305,
Human Resources Administration (HRA),Average length of stay,HRA domestic violence Tier II/transitional shelters,284,453,284,,,NA,NA,NA,,NA,,,202305,
Human Resources Administration (HRA),Average length of stay,HRA HASA emergency housing,318,414,387,,,263,254,NA,102,261,,,202305,
Human Resources Administration (HRA),Average length of stay,HRA HASA transitional housing,133,144,141,,,146,148,NA,113,146,,,202305,
Human Resources Administration (HRA),Total number of facilities,HRA-administered facilities,15955,3016,18971,,,,,,,,,154,202305,
Human Resources Administration (HRA),Average daily overnight census,HRA-administered facilities,1178,343,1438,1716,2047,1821,499,,10,2332,,,202306,
Human Resources Administration (HRA),Average daily overnight census,HRA domestic violence emergency shelters,660,148,766,812,1190,14,92,,,106,,,202306,
Human Resources Administration (HRA),Average daily overnight census,HRA domestic violence Tier II/transitional shelters,470,42,470,515,783,NA,NA,,,NA,,,202306,
Human Resources Administration (HRA),Average daily overnight census,HRA HIV/AIDS Services Administration (HASA) emergency housing,47,152,200,385,73,1267,241,,6,1515,,,202306,
Human Resources Administration (HRA),Average daily overnight census,HRA HASA transitional housing,1,1,2,4,1,540,166,,4,711,,,202306,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA-administered facilities 1,1377,392,1669,1964,2446,2082,574,,12,2668,,,202306,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA- administered facilities: domestic violence shelters,1323,227,1450,1546,2366,20,107,,,127,,,202306,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA- administered facilities: HASA shelters,54,165,219,418,80,2062,467,,12,2541,,,202306,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA domestic violence emergency shelters,809,180,936,981,1499,20,107,,,127,,,202306,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA domestic violence Tier II/transitional shelters,514,47,514,565,867,,,,,,,,202306,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA HASA emergency housing,53,169,222,425,79,1468,283,,<10,<10,,,202306,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA HASA transitional housing,<10,<10,<10,<10,<10,645,191,,<10,<10,,,202306,
Human Resources Administration (HRA),Average length of stay,HRA domestic violence emergency shelters,109,101,105,,,96,82,NA,,89,,,202306,
Human Resources Administration (HRA),Average length of stay,HRA domestic violence Tier II/transitional shelters,292,482,292,,,NA,NA,NA,,NA,,,202306,
Human Resources Administration (HRA),Average length of stay,HRA HASA emergency housing,307,413,384,,,255,253,NA,131,254,,,202306,
Human Resources Administration (HRA),Average length of stay,HRA HASA transitional housing,163,175,172,,,142,163,NA,107,146,,,202306,
Human Resources Administration (HRA),Total number of facilities,HRA-administered facilities,,,,,,,,,,,,155,202306,
Housing Preservation and Development (HPD),Average daily overnight census,HPD-administered facilities,211,177,389,900,437,266,117,NA,<10,385,,,202306,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency facilities: Family Living Center (HPD Shelter),195,0,195,428,405,0,0,,0,0,,,202306,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency hotels (Single Room Occupancy Hotel),0,161,161,387,0,256,112,,0,369,,,202306,
Housing Preservation and Development (HPD),Average daily overnight census,HPD-administered facilities: American Red Cross,16,17,33,84,32,10,5,,0,15,,,202306,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency hotels (Emergency Procurement Hotel Contracts3),NA,NA,NA,NA,NA,NA,NA,,NA,,,,202306,There were no Emergency Procurement Hotel Contracts in the reporting month.
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD-administered facilities,304,250,554,1320,625,330,152,NA,<10,484,,,202306,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency facilities: Family Living Center (HPD Shelter),236,0,236,519,485,0,0,,0,0,519,,202306,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency hotels (Single Room Occupancy Hotel),0,179,179,436,0,283,127,,<10,411,847,,202306,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD-administered facilities: American Red Cross,68,71,139,365,140,47,25,,<10,73,438,,202306,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency hotels (Emergency Procurement Hotel Contracts),NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,202306,There were no Emergency Procurement Hotel Contracts in the reporting month.
Housing Preservation and Development (HPD),Average length of stay,HPD-administered facilities,265,337,298,,,565,395,NA,124,510,,,202306,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency facilities: Family Living Center (HPD Shelter),333,0,333,,,0,0,NA,0,0,,,202306,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency hotels (Single Room Occupancy Hotel),0,459,459,,,658,472,NA,240,600,,,202306,
Housing Preservation and Development (HPD),Average length of stay,HPD-administered facilities: American Red Cross,31,29,30,,,7,6,NA,7,7,,,202306,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency hotels (Emergency Procurement Hotel Contracts),NA,NA,NA,,,NA,NA,NA,NA,NA,,,202306,There were no Emergency Procurement Hotel Contracts in the reporting month.
Housing Preservation and Development (HPD),Total number of facilities,HPD-administered facilities,,,,,,,,,,,,19,202306,
Department of Youth and Community Development (DYCD),Average daily overnight census,DYCD-administered facilities,21,NA,21,17,21,315,292,48,<10,613,,700,202306,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered facilities,30,NA,30,25,30,1102,1034,99,15,2151,,2305,202306,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered crisis services programs,19,NA,19,14,19,150,182,53,<10,334,,420,202306,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered drop-in centers1,0,NA,0,0,0,702,643,28,<10,1353,,1381,202306,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered transitional independent living support programs,11,NA,11,11,11,250,209,18,<10,464,,504,202306,
Department of Youth and Community Development (DYCD),Average length of stay,DYCD-administered crisis services programs,21,NA,21,23,21,46,37,41,55,42,,39,202306,
Department of Youth and Community Development (DYCD),Average length of stay,DYCD-administered transitional independent living support programs,134,NA,134,134,134,177,199,4,0,187,,183,202306,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities,Number of individuals who are on wait-list - DYCD-administered facilities,NA,NA,NA,,,NA,NA,NA,0,NA,,,202306,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities,DYCD-administered crisis services programs,NA,NA,NA,,,NA,NA,NA,,NA,,,202306,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities,DYCD-administered drop-in centers,NA,NA,NA,,,NA,NA,NA,,NA,,,202306,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities,DYCD-administered transitional independent living support programs,NA,NA,NA,,,NA,NA,NA,,NA,,,202306,
Department of Youth and Community Development (DYCD),Total number of facilities,DYCD-administered facilities,,,,,,,,,,,,53,202306,
Mayor's Office of Criminal Justice (MOCJ),Total number of individuals utilizing city-administered facilities,Short-term reentry housing,10,,,,,647,101,NA,,748,,,202306,
Mayor's Office of Criminal Justice (MOCJ),Total number of facilities,Short-term reentry housing,,,,,,,,,,,,17,202306,
Department of Health and Mental Hygeine (DOHMH),Total number of individuals utilizing city-administered facilities,Justice-informed supportive housing (JISH),,,,,,84,21,,,105,,,202306,
Department of Health and Mental Hygeine (DOHMH),Total number of facilities,Justice-informed supportive housing (JISH),,,,,,,,,,,,120,202306,
Department of Homeless Services (DHS),Average daily overnight census,DHS-administered facilities,15955,3016,18971,31507,27125,17402,4668,,19,22089,,,202306,
Department of Homeless Services (DHS),Average daily overnight census,DHS safe havens,,,,,,1307,229,,1,1537,,,202306,
Department of Homeless Services (DHS),Average daily overnight census,DHS stabilization beds,,,,,,947,336,,3,1286,,,202306,
Department of Homeless Services (DHS),Average daily overnight census,DHS veterans shelters,,,,,,172,0,,0,172,,,202306,
Department of Homeless Services (DHS),Average daily overnight census,DHS drop-in centers,,,,,,150,69,,,219,,,202306,
Department of Homeless Services (DHS),Average daily overnight census,DHS faith-based facilities,,,,,,20,8,,,28,,,202306,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS-administered facilities,19525,3902,23427,34492,29740,21172,5736,,27,26935,,,202306,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS safe havens,,,,,,1474,258,NA,<10,<10,,,202306,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS stabilization beds,,,,,,1145,430,NA,<10,<10,,,202306,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS veterans shelters,,,,,,226,0,,0,226,,,202306,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS drop-in centers 2,,,,,,NA,NA,NA,,NA,,,202306,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS faith-based facilities 2,,,,,,NA,NA,NA,,NA,,,202306,
Department of Homeless Services (DHS),Average length of stay,DHS-administered facilities,345,630,NA,,,NA,NA,NA,,387,,,202306,
Department of Homeless Services (DHS),Average length of stay,DHS safe havens,NA,NA,NA,,,NA,NA,NA,,485,,,202306,
Department of Homeless Services (DHS),Average length of stay,DHS stabilization beds,NA,NA,NA,,,NA,NA,NA,,389,,,202306,
Department of Homeless Services (DHS),Average length of stay,DHS veterans shelters,NA,NA,NA,,,NA,NA,NA,,422,,,202306,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Applications,4152,881,,,,1467,618,,<10,<10,,,202306,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Unduplicated families (Families with Children and Adult Families) with an application outcome in the month,4693,801,,,,,,,,,,,202306,"In the 202305 report this facility or program type named 'Unduplicated families (Families with Children and Adult Families) with an outcome in the month.' The word ""application"" was added to clarify that the outcome is a decision made on the application."
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Unduplicated families found eligible for shelter,2345,116,,,,,,,,,,,202306,'Unduplicated entrants (Single Adults) / Eligible families to DHS Shelter' was renamed to more closely align with the language used in Local Law 79/2022.
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Unduplicated entrants (households) to DHS-administered facilities,2345,116,,,,1467,618,,<10,<10,,,202306,'Unduplicated entrants (Single Adults) / Eligible families to DHS Shelter' was renamed to more closely align with the language used in Local Law 79/2022.
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted one application,77,53,,,,,,,,,,,202306,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted two applications,13,22,,,,,,,,,,,202306,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted three applications,5,11,,,,,,,,,,,202306,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted four applications,3,6,,,,,,,,,,,202306,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted five applications,1,4,,,,,,,,,,,202306,
