Agency,Category,Facility or Program Type,Families with Children,Adult Families,Total Families,Total Adults in Families,Total Children,Single Men,Single Women,Runaway and Homeless Youth,Anyone of Another Gender,Total Single Adults,Total Adults,Total,Data Period,Data Period Notes
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted six applications or more,1,4,,,,,,,,,,,202306,
Department of Homeless Services (DHS),Total number of facilities,DHS-administered facilities,,,,,,,,,,,,469,202306,
Department of Homeless Services (DHS),Average daily overnight census,DHS-administered facilities,16453,2904,19357,32017,28104,16903,4731,,25,21659,,,202307,
Department of Homeless Services (DHS),Average daily overnight census,DHS safe havens,,,,,,1308,228,,1,1537,,,202307,
Department of Homeless Services (DHS),Average daily overnight census,DHS stabilization beds,,,,,,967,345,,6,1318,,,202307,
Department of Homeless Services (DHS),Average daily overnight census,DHS veterans shelters,,,,,,178,0,,0,178,,,202307,
Department of Homeless Services (DHS),Average daily overnight census,DHS drop-in centers,,,,,,162,67,,,229,,,202307,
Department of Homeless Services (DHS),Average daily overnight census,DHS faith-based facilities,,,,,,13,6,,,19,,,202307,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS-administered facilities,19911,3852,23763,35026,30789,20975,5883,,40,26898,,,202307,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS safe havens,,,,,,1454,256,NA,<10,#,,,202307,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS stabilization beds,,,,,,1126,415,NA,<10,#,,,202307,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS veterans shelters,,,,,,215,<10,,<10,#,,,202307,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS drop-in centers,,,,,,NA,NA,NA,,NA,,,202307,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS faith-based facilities,,,,,,NA,NA,NA,,NA,,,202307,
Department of Homeless Services (DHS),Average length of stay,DHS-administered facilities,335,599,NA,,,NA,NA,NA,,385,,,202307,
Department of Homeless Services (DHS),Average length of stay,DHS safe havens,NA,NA,NA,,,NA,NA,NA,,493,,,202307,
Department of Homeless Services (DHS),Average length of stay,DHS stabilization beds,NA,NA,NA,,,NA,NA,NA,,399,,,202307,
Department of Homeless Services (DHS),Average length of stay,DHS veterans shelters,NA,NA,NA,,,NA,NA,NA,,429,,,202307,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Applications,4347,914,,,,2259,726,,12,2997,,,202307,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Unduplicated families (Families with Children and Adult Families) with an application outcome in the month3,4693,801,,,,,,,,,,,202307,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Unduplicated families found eligible for shelter4,2128,84,,,,,,,,,,,202307,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Unduplicated entrants (households) to DHS-administered facilities,2128,84,,,,2259,726,,12,2997,,,202307,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted one application,76,48,,,,,,,,,,,202307,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted two applications,13,18,,,,,,,,,,,202307,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted three applications,6,19,,,,,,,,,,,202307,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted four applications,3,8,,,,,,,,,,,202307,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted five applications,1,6,,,,,,,,,,,202307,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted six applications or more,1,1,,,,,,,,,,,202307,
Department of Homeless Services (DHS),Total number of facilities,DHS-administered facilities,,,,,,,,,,,,475,202307,
Mayor's Office of Criminal Justice (MOCJ),Total number of individuals utilizing city-administered facilities,Short-term reentry housing,23,,,,,674,98,NA,,772,,,202307,
Mayor's Office of Criminal Justice (MOCJ),Total number of facilities,Short-term reentry housing,,,,,,,,,,,,17,202307,
Department of Health and Mental Hygeine (DOHMH),Total number of individuals utilizing city-administered facilities,Justice-informed supportive housing (JISH),,,,,,84,22,,,106,,,202307,
Department of Health and Mental Hygeine (DOHMH),Total number of facilities,Justice-informed supportive housing (JISH),,,,,,,,,,,,120,202307,
Housing Preservation and Development (HPD),Average daily overnight census,HPD-administered facilities,219,185,404,929,452,272,129,<10,,402,,,202307,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency facilities: Family Living Center (HPD Shelter),211,<10,212,460,436,0,<10,0,,<10,,,202307,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency hotels (Single Room Occupancy Hotel),0,174,174,419,0,267,126,0,,395,,,202307,
Housing Preservation and Development (HPD),Average daily overnight census,HPD-administered facilities: American Red Cross,<10,11,19,47,16,<10,<10,0,,<10,,,202307,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency hotels (Emergency Procurement Hotel Contracts3),NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,202307,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD-administered facilities,266,226,492,1162,550,300,142,<10,,443,,,202307,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency facilities: Family Living Center (HPD Shelter),223,<10,225,497,463,<10,<11,0,,<10,499,,202307,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency hotels (Single Room Occupancy Hotel),0,178,178,430,0,274,128,<10,,403,833,,202307,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD-administered facilities: American Red Cross,43,46,89,235,87,25,13,0,,38,273,,202307,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency hotels (Emergency Procurement Hotel Contracts),NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,202307,
Housing Preservation and Development (HPD),Average length of stay,HPD-administered facilities,283,349,313,,,501,346,170,,451,,,202307,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency facilities: Family Living Center (HPD Shelter),330,664,332,,,14,188,0,,101,,,202307,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency hotels (Single Room Occupancy Hotel),0,425,425,,,548,382,170,,494,,,202307,
Housing Preservation and Development (HPD),Average length of stay,HPD-administered facilities: American Red Cross,44,43,43,,,6,4,0,,5,,,202307,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency hotels (Emergency Procurement Hotel Contracts),NA,NA,NA,,,NA,NA,NA,,NA,,18,202307,
Housing Preservation and Development (HPD),Total number of facilities,HPD-administered facilities,,,,,,,,,,,,,202307,
Human Resources Administration (HRA),Average daily overnight census,HRA-administered facilities,"1,191",341,"1,448","1,729","2,061","1,833",487,,7,"2,331",,,202307,
Human Resources Administration (HRA),Average daily overnight census,HRA domestic violence emergency shelters,656,142,757,803,"1,183",16,85,,,101,,,202307,
Human Resources Administration (HRA),Average daily overnight census,HRA domestic violence Tier II/transitional shelters,483,43,483,529,803,NA,NA,,,NA,,,202307,
Human Resources Administration (HRA),Average daily overnight census,HRA HIV/AIDS Services Administration (HASA) emergency housing,51,155,206,394,74,"1,268",239,,5,"1,514",,,202307,
Human Resources Administration (HRA),Average daily overnight census,HRA HASA transitional housing,1,1,2,3,1,549,163,,2,716,,,202307,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA-administered facilities,"1,376",367,"1,647","1,983","2,402","2,083",569,,11,"2,663",,,202307,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA- administered facilities: domestic violence shelters,"1,319",200,"1,423","1,558","2,314",17,110,,,127,,,202307,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA- administered facilities: HASA shelters,57,167,224,425,88,"2,066",459,,11,"2,536",,,202307,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA domestic violence emergency shelters,807,153,911,994,"1,465",17,110,,,127,,,202307,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA domestic violence Tier II/transitional shelters,512,47,512,564,849,,,,,,,,202307,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA HASA emergency housing,56,170,226,430,87,"1,454",281,,<10,<10,,,202307,
Human Resources Administration (HRA),Total number of individuals utilizing city-administered facilities,HRA HASA transitional housing,<10,<10,<10,<10,<10,660,193,,<10,<10,,,202307,
Human Resources Administration (HRA),Average length of stay,HRA domestic violence emergency shelters,107,102,104,,,99,89,NA,,94,,,202307,
Human Resources Administration (HRA),Average length of stay,HRA domestic violence Tier II/transitional shelters,293,449,293,,,NA,NA,NA,,NA,,,202307,
Human Resources Administration (HRA),Average length of stay,HRA HASA emergency housing,305,393,369,,,248,242,NA,154,247,,,202307,
Human Resources Administration (HRA),Average length of stay,HRA HASA transitional housing,194,155,163,,,149,157,NA,162,151,,,202307,
Human Resources Administration (HRA),Total number of facilities,HRA-administered facilities,,,,,,,,,,,,153,202307,
Department of Youth and Community Development (DYCD),Average daily overnight census,DYCD-administered facilities,18,NA,18,16,19,287,280,41,<10,574,,,202307,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered facilities,24,NA,24,20,25,1055,991,85,17,2063,,,202307,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered crisis services programs,13,NA,13,9,14,149,177,41,<10,329,,,202307,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered drop-in centers1,0,NA,0,0,0,655,594,28,<10,1256,,,202307,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered transitional independent living support programs,11,NA,11,11,11,251,220,16,<10,478,,,202307,
Department of Youth and Community Development (DYCD),Average length of stay,DYCD-administered crisis services programs,45,NA,45,60,34,45,42,40,63,43,,,202307,
Department of Youth and Community Development (DYCD),Average length of stay,DYCD-administered transitional independent living support programs,0,NA,0,0,0,146,202,0,,169,,,202307,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities2,Number of individuals who are on wait-list - DYCD-administered facilities,NA,NA,NA,,,NA,NA,NA,0,NA,,,202307,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities2,DYCD-administered crisis services programs,NA,NA,NA,,,NA,NA,NA,,NA,,,202307,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities2,DYCD-administered drop-in centers,NA,NA,NA,,,NA,NA,NA,,NA,,,202307,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities2,DYCD-administered transitional independent living support programs,NA,NA,NA,,,NA,NA,NA,,NA,,,202307,
Department of Youth and Community Development (DYCD),Total number of facilities,DYCD-administered facilities,,,,,,,,,,,,53,202307,
Department of Homeless Services (DHS),Average daily overnight census,DHS-administered facilities,"17,132","2,606","19,738","32,435","29,317","16,203","4,724",,30,"20,957",,,202308,
Department of Homeless Services (DHS),Average daily overnight census,DHS safe havens,,,,,,"1,293",225,,2,"1,520",,,202308,
Department of Homeless Services (DHS),Average daily overnight census,DHS stabilization beds,,,,,,975,332,,7,"1,314",,,202308,
Department of Homeless Services (DHS),Average daily overnight census,DHS veterans shelters,,,,,,160,0,,0,160,,,202308,
Department of Homeless Services (DHS),Average daily overnight census,DHS drop-in centers,,,,,,137,65,,,202,,,202308,
Department of Homeless Services (DHS),Average daily overnight census,DHS faith-based facilities,,,,,,13,5,,,18,,,202308,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS-administered facilities,"21,176","3,721","24,897","36,508","32,919","20,549","5,880",,42,"26,471",,,202308,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS safe havens,,,,,,"1,438",259,NA,<10,#,,,202308,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS stabilization beds,,,,,,"1,203",415,NA,<10,#,,,202308,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS veterans shelters,,,,,,215,0,,0,215,,,202308,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS drop-in centers,,,,,,NA,NA,NA,,NA,,,202308,
Department of Homeless Services (DHS),Total number of individuals utilizing city-administered facilities,DHS faith-based facilities,,,,,,NA,NA,NA,,NA,,,202308,
Department of Homeless Services (DHS),Average length of stay,DHS-administered facilities,349,625,NA,,,NA,NA,NA,,390,,,202308,
Department of Homeless Services (DHS),Average length of stay,DHS safe havens,NA,NA,NA,,,NA,NA,NA,,500,,,202308,
Department of Homeless Services (DHS),Average length of stay,DHS stabilization beds,NA,NA,NA,,,NA,NA,NA,,397,,,202308,
Department of Homeless Services (DHS),Average length of stay,DHS veterans shelters,NA,NA,NA,,,NA,NA,NA,,383,,,202308,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Applications,"5,201",903,,,,"1,791",680,,<10,#,,,202308,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Unduplicated families (Families with Children and Adult Families) with an application outcome in the month3,"3,336","1,016",,,,,,,,,,,202308,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Unduplicated families found eligible for shelter4,"1,183",109,,,,,,,,,,,202308,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Unduplicated entrants (households) to DHS-administered facilities,"1,183",109,,,,"1,791",680,,<10,#,,,202308,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted one application,67,50,,,,,,,,,,,202308,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted two applications,16,15,,,,,,,,,,,202308,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted three applications,9,17,,,,,,,,,,,202308,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted four applications,4,9,,,,,,,,,,,202308,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted five applications,2,7,,,,,,,,,,,202308,
Department of Homeless Services (DHS),Admission and entrance to DHS-administered shelter facilities,Percentage of eligible families who submitted six applications or more,1,3,,,,,,,,,,,202308,
Department of Homeless Services (DHS),Total number of facilities,DHS-administered facilities,,,,,,,,,,,,477,202308,
Office of Technology and Innovation (OTI),Average daily overnight census,Humanitarian Emergency Response and Relief Centers (HERRCs),"16,174","2,773","18,947","11,222","7,725","7,973",617,,18,"8,608",,27555,202308,
Office of Technology and Innovation (OTI),Total number of individuals utilizing city-administered facilities,Humanitarian Emergency Response and Relief Centers (HERRCs),"16,739","2,740","19,479","11,469","8,010","9,023",698,,18,"9,739",,29218,202308,
Office of Technology and Innovation (OTI),Total number of facilities,Humanitarian Emergency Response and Relief Centers (HERRCs),,,,,,,,,,,,61,202308,
Mayor's Office of Criminal Justice (MOCJ),Total number of individuals utilizing city-administered facilities,Short-term reentry housing,23,,,,,676,96,NA,,772,,,202308,
Mayor's Office of Criminal Justice (MOCJ),Total number of facilities,Short-term reentry housing,,,,,,,,,,,,18,202308,
Department of Health and Mental Hygeine (DOHMH),Total number of individuals utilizing city-administered facilities,Justice-informed supportive housing (JISH),,,,,,84,21,,,105,,,202308,
Department of Health and Mental Hygeine (DOHMH),Total number of facilities,Justice-informed supportive housing (JISH),,,,,,,,,,,,120,202308,
Housing Preservation and Development (HPD),Average daily overnight census,HPD-administered facilities,207,187,394,908,415,267,128,NA,<10,397,,,202308,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency facilities: Family Living Center (HPD Shelter),200,0,200,442,404,0,0,,0,0,,,202308,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency hotels (Single Room Occupancy Hotel),0,180,180,433,0,262,126,,0,389,,,202308,
Housing Preservation and Development (HPD),Average daily overnight census,HPD-administered facilities: American Red Cross,<10,<10,13,33,11,<10,<10,,0,<10,,,202308,
Housing Preservation and Development (HPD),Average daily overnight census,HPD emergency hotels (Emergency Procurement Hotel Contracts3),NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,202308,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD-administered facilities,255,224,479,"1,113",497,296,141,NA,<10,438,,,202308,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency facilities: Family Living Center (HPD Shelter),213,0,213,462,427,0,0,,0,0,462,,202308,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency hotels (Single Room Occupancy Hotel),0,186,186,445,0,264,129,,<10,394,839,,202308,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD-administered facilities: American Red Cross,42,38,80,206,70,32,12,,0,44,250,,202308,
Housing Preservation and Development (HPD),Total number of individuals utilizing city-administered facilities,HPD emergency hotels (Emergency Procurement Hotel Contracts),NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,202308,
Housing Preservation and Development (HPD),Average length of stay,HPD-administered facilities,277,353,312,,,503,344,NA,201,451,,,202308,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency facilities: Family Living Center (HPD Shelter),326,0,326,,,0,0,NA,0,0,,,202308,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency hotels (Single Room Occupancy Hotel),0,419,419,,,563,375,NA,201,500,,,202308,
Housing Preservation and Development (HPD),Average length of stay,HPD-administered facilities: American Red Cross,26,28,27,,,6,6,NA,0,6,,,202308,
Housing Preservation and Development (HPD),Average length of stay,HPD emergency hotels (Emergency Procurement Hotel Contracts),NA,NA,NA,,,NA,NA,NA,NA,NA,,,202308,
Housing Preservation and Development (HPD),Total number of facilities,HPD-administered facilities,,,,,,,,,,,,18,202308,
Human Resources Adminstration (HRA),Average daily overnight census,HRA-administered facilities,"1,197",335,"1,456","1,729","2,075","1,856",496,,8,"2,361",,,202308,
Human Resources Adminstration (HRA),Average daily overnight census,HRA domestic violence emergency shelters,661,138,762,802,"1,204",15,86,,,101,,,202308,
Human Resources Adminstration (HRA),Average daily overnight census,HRA domestic violence Tier II/transitional shelters,483,40,483,524,792,NA,NA,,,NA,,,202308,
Human Resources Adminstration (HRA),Average daily overnight census,HRA HIV/AIDS Services Administration (HASA) emergency housing,53,155,209,399,79,"1,290",249,,6,"1,546",,,202308,
Human Resources Adminstration (HRA),Average daily overnight census,HRA HASA transitional housing,0,2,2,4,0,551,161,,2,714,,,202308,
Human Resources Adminstration (HRA),Total number of individuals utilizing city-administered facilities,HRA-administered facilities,"1,431",402,"1,738","2,051","2,486","2,107",588,,10,"2,705",,,202308,
Human Resources Adminstration (HRA),Total number of individuals utilizing city-administered facilities,HRA- administered facilities: domestic violence shelters,"1,366",230,"1,501","1,604","2,388",23,112,,,135,,,202308,
Human Resources Adminstration (HRA),Total number of individuals utilizing city-administered facilities,HRA- administered facilities: HASA shelters,65,172,237,447,98,"2,084",476,,10,"2,570",,,202308,
Human Resources Adminstration (HRA),Total number of individuals utilizing city-administered facilities,HRA domestic violence emergency shelters,833,185,968,"1,023","1,504",23,112,,,135,,,202308,
Human Resources Adminstration (HRA),Total number of individuals utilizing city-administered facilities,HRA domestic violence Tier II/transitional shelters,533,45,533,581,884,,,,,,,,202308,
Human Resources Adminstration (HRA),Total number of individuals utilizing city-administered facilities,HRA HASA emergency housing,64,173,237,448,97,"1,476",298,,<10,<10,,,202308,
Human Resources Adminstration (HRA),Total number of individuals utilizing city-administered facilities,HRA HASA transitional housing,<10,<10,<10,<10,<10,662,191,,<10,<10,,,202308,
Human Resources Adminstration (HRA),Average length of stay,HRA domestic violence emergency shelters,105,98,103,,,84,84,NA,,84,,,202308,
Human Resources Adminstration (HRA),Average length of stay,HRA domestic violence Tier II/transitional shelters,287,428,287,,,NA,NA,NA,,NA,,,202308,
Human Resources Adminstration (HRA),Average length of stay,HRA HASA emergency housing,289,370,347,,,242,214,NA,148,238,,,202308,
Human Resources Adminstration (HRA),Average length of stay,HRA HASA transitional housing,142,169,163,,,146,158,NA,162,149,,,202308,
Human Resources Adminstration (HRA),Total number of facilities,HRA-administered facilities,,,,,,,,,,,,152,202308,
Department of Youth and Community Development (DYCD),Average daily overnight census,DYCD-administered facilities,20,NA,20,19,19,316,293,41,<10,618,,700,202308,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered facilities,32,NA,32,28,32,"1,137","1,022",107,17,"2,176",,2347,202308,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered crisis services programs,17,NA,17,13,17,162,181,51,<10,346,,431,202308,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered drop-in centers1,0,NA,0,0,0,728,622,37,<10,"1,357",,1394,202308,
Department of Youth and Community Development (DYCD),Total number of individuals utilizing city-administered facilities,DYCD-administered transitional independent living support programs,15,NA,15,15,15,247,219,19,<10,473,,522,202308,
Department of Youth and Community Development (DYCD),Average length of stay,DYCD-administered crisis services programs,39,NA,39,49,39,45,43,49,,44,,44,202308,
Department of Youth and Community Development (DYCD),Average length of stay,DYCD-administered transitional independent living support programs,205,NA,205,205,205,147,169,137,,157,,158,202308,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities2,Number of individuals who are on wait-list - DYCD-administered facilities,NA,NA,NA,,,NA,NA,NA,,NA,,,202308,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities2,DYCD-administered crisis services programs,NA,NA,NA,,,NA,NA,NA,,NA,,,202308,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities2,DYCD-administered drop-in centers,NA,NA,NA,,,NA,NA,NA,,NA,,,202308,
Department of Youth and Community Development (DYCD),Number of individuals who are on wait-lists for DYCD-administered facilities2,DYCD-administered transitional independent living support programs,NA,NA,NA,,,NA,NA,NA,,NA,,,202308,
